DE,Dean Lowry,Northwestern,,78,296,3,3-4 DE,Very productive,Good motor,Good tackler,Gets pushed off ball,Not a playmaker,,
OLB,Shaq Lawson,Clemson,4.7,75,269,1,Strong,Great pass rusher,Harrison-esque desire,Played on stacked D,,,,
OLB,Joe Schobert,Wisconson,4.76,73,244,4,Productive,Pass rusher,Discipline,Slippery,Undersized,Missed tackles,,
OLB,Leonard Floyd,Georgia,4.6,78,244,1,Great burst off edge,Good size,Lacks bulk,Freak athlete,,,,
OLB,Noah Spence,E Kentucky,4.8,74,251,1,Good burst,Best edge rusher,Not good against run,Dominant Senior Bowl,,,,
OLB,Dadi Nicholas,Virginia Tech,4.74,75,235,6,Productive as OLB,Very quick off snap,Good dropping into space,Good tackler,Lacks strength,Avoids contact,Easily redirected,
OLB,Jatavis Brown,Akron,4.44,71,227,4,MAC Defensive POTY,Plays very fast,Team player/Smart,Quick burst on pass rush,Gets swallowed up,Misses tackles,Could be S,
S,Karl Joseph,West Virginia,4.57,70,205,1,Big hitter,Sees field well,Ball hawk,Good in coverage,Explosive,Tore ACL,Lacks size/speed,
S,Jeremy Cash,Duke,4.56,72,212,3,Good Senior Bowl,Could play nickel,Great against run,LB convert,Decent in coverage,Can rush passer,Well rounded,Productive
S,Kevin Byard,Middle Tenn,4.46,71,212,4,Good Senior Bowl,Center fielder,Not a run stopper (FS),Reliable tackler,Excellent ball skills,Great speed,Good scheme fit,Small school
S,Darian Thompson,Boise St,4.69,74,208,2,Good coverage instincts,Plays aggressive,Good size,Misses tackles,Lapses in coverage,,,
S,Vonn Bell,Ohio St,4.51,71,199,2,Decent tackler,Takes good angles,Closes space well,Doesn't play fast,Gets blocked out of play,Good in coverage,,
S,Jayron Kearse,Clemson,4.62,76,216,6,Freakish size,Very productive,Good behind ball,Gets beat too often,Lacks effort,,,
S,Justin Simmons,Boston College,4.61,74,202,3,Very productive,Fast & decisive,Good tackler,Smart,Lanky,Not agile,,
S,Jarrod Wilson,Michigan,4.55,73,209,7,Good against run,Good blitzer,Takes poor angles,Not aggressive enough,,,,
S,Deon Bush,Miami FL,4.64,72,199,6,Good production,Injured senior year,Great athlete,Big hitter,Good against deep ball,Gambler,Inconsistent,
S,Trae Elston,Ole Miss,4.5,71,195,6,Productive,Explosive hitter,Ball hawk,Not fluid,Inconsistent,,,
S,Keanu Neal,Florida,4.56,72,211,1,Physical tackler,Violent,Very productive,Gambler,Not quick,,,
S,TJ Green,Clemson,4.34,74,209,2,Speedster,Good ball skills,Great blitzer,Bad tackler,One year starter,Raw,,
WR,Leonte Carroo,Rutgers,4.5,72,211,3,Very productive,Injuries,Deep threat,Good blocker,,,,
WR,Sterling Shepard,Oklahoma,4.48,70,194,2,Productive,Deep threat,Slot reciever,Lacks strength,,,,
WR,Michael Thomas,Soutern Miss,4.53,73,193,5,Very productive,Dropsies,Needs polish,Sleeper,,,,
WR,Daniel Braverman,W Michigan,4.47,70,175,4,Great deep threat,Slot reciever,Good after catch,Small,,,,
WR,Braxton Miller,Ohio St,4.5,73,201,2,Slot reciever,Dual threat,Versatile,Playmaker,Raw,,,
WR,Tyler Boyd,Pittsburgh,4.58,73,197,2,Very productive,Very competitve,Good body control,Kick/punt returner,Speed concerns,Not good after catch,Ball security issues,
WR,Pharoh Cooper,South Carolina,4.63,71,203,2,Quick and strong,Good on short routes,Very productive,Dropsies,Limited route running,,,
